
---------- Begin Simulation Statistics ----------
simSeconds                                   0.045769                       # Number of seconds simulated (Second)
system.cpu0.statFuBusy::Bf16Cvt                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::System                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.issuedInstType_0::No_OpClass        24889      0.15%      0.15% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::IntAlu         13425126     81.79%     81.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::IntMult              62      0.00%     81.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::IntDiv            39693      0.24%     82.19% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatAdd           8817      0.05%     82.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatCmp              0      0.00%     82.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatCvt           1484      0.01%     82.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMult             0      0.00%     82.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMultAcc            0      0.00%     82.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatDiv              0      0.00%     82.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMisc             0      0.00%     82.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatSqrt             0      0.00%     82.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAdd            6385      0.04%     82.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAddAcc            0      0.00%     82.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAlu           15845      0.10%     82.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdCmp               0      0.00%     82.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdCvt           14001      0.09%     82.47% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMisc          13820      0.08%     82.56% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMult              0      0.00%     82.56% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMultAcc            0      0.00%     82.56% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMatMultAcc            0      0.00%     82.56% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShift          1666      0.01%     82.57% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShiftAcc            0      0.00%     82.57% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdDiv               0      0.00%     82.57% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSqrt              0      0.00%     82.57% # Number of instructions issued per FU type, per thread (Count)
